
Query #1
c_name	o_orderdate	l_partkey	l_suppkey	l_quantity	l_extendedprice
Customer#000123314	1993-10-14	4297	1798	45.00	54058.05
Customer#000123314	1993-10-14	19036	6540	49.00	46796.47
Customer#000123314	1993-10-14	128449	3474	27.00	39890.88
Customer#000123314	1993-10-14	29380	1883	2.00	2618.76
Customer#000123314	1993-10-14	183095	650	28.00	32986.52
Customer#000123314	1993-10-14	62143	9662	26.00	28733.64
(6 rows)

Query #2
l_orderkey	l_partkey	l_suppkey	p_name	ps_supplycost	p_retailprice
1	155190	7706	slate lavender tan lime lawn	719.17	1245.19
1	67310	7311	drab chartreuse beige thistle lemon	367.18	1277.31
1	63700	3701	saddle green dim chartreuse chiffon	207.62	1663.70
1	2132	4633	misty drab maroon pale slate	356.43	1034.13
1	24027	1534	linen frosted chocolate peach pale	92.74	951.02
1	15635	638	medium tomato lawn navy salmon	666.38	1550.63
2	106170	1191	steel orange burnished olive burlywood	455.69	1176.17
3	4297	1798	bisque grey metallic pale lemon	955.51	1201.29
3	19036	6540	light pale antique purple rose	823.93	955.03
3	128449	3474	cream rose bisque slate beige	438.15	1477.44
3	29380	1883	orange pale mint floral honeydew	322.02	1309.38
3	183095	650	sky puff midnight slate bisque	169.96	1178.09
3	62143	9662	grey cyan snow red ghost	115.00	1105.14
4	88035	5560	cornsilk cyan coral medium chartreuse	630.70	1023.03
5	108570	8571	blanched forest pale steel light	889.71	1578.57
5	123927	3928	firebrick aquamarine peach antique violet	151.94	1950.92
5	37531	35	forest white chartreuse linen rose	314.72	1468.53
6	139636	2150	floral sienna metallic snow cornflower	116.17	1675.63
7	182052	9607	blue coral dodger yellow indian	229.46	1134.05
7	145243	7758	orange deep hot cornsilk blanched	766.98	1288.24
7	94780	9799	cyan sienna cornflower moccasin wheat	389.32	1774.78
7	163073	3074	dodger dark goldenrod blanched rose	836.22	1136.07
7	151894	9440	sandy antique linen khaki honeydew	329.39	1945.89
7	79251	1759	rosy ghost forest seashell linen	888.54	1230.25
7	157238	2269	medium tan honeydew sandy wheat	586.18	1295.23
32	82704	7721	firebrick violet saddle cream tan	585.42	1686.70
32	197921	441	beige hot royal saddle light	907.86	2018.92
32	44161	6666	steel midnight salmon dim brown	184.91	1105.16
32	2743	7744	powder slate khaki indian rosy	113.09	1645.74
32	85811	8320	plum bisque burlywood orange deep	857.94	1796.81
32	11615	4117	khaki lawn dim black yellow	793.79	1526.61
33	61336	8855	midnight snow deep mint powder	545.96	1297.33
33	60519	5532	chocolate honeydew lawn dark olive	851.34	1479.51
33	137469	9983	bisque grey floral peach purple	973.70	1506.46
33	33918	3919	magenta turquoise olive deep almond	833.67	1851.91
34	88362	871	seashell dim thistle maroon hot	266.73	1350.36
34	89414	1923	orange blue chartreuse chocolate papaya	662.85	1403.41
34	169544	4577	orange honeydew coral purple grey	323.64	1613.54
35	450	2951	sky black goldenrod orchid antique	543.94	1350.45
35	161940	4457	brown navajo coral bisque navy	983.01	2001.94
35	120896	8433	lace lawn tan lavender deep	249.40	1916.89
35	85175	7684	slate blush aquamarine turquoise firebrick	495.77	1160.17
35	119917	4940	olive puff blanched bisque green	111.94	1936.91
35	30762	3266	linen tomato tan powder ghost	31.85	1692.76
36	119767	9768	olive lemon misty powder plum	339.77	1786.76
37	22630	5133	lemon chocolate lime maroon violet	46.51	1552.63
37	126782	1807	gainsboro deep blue coral blanched	493.28	1808.78
37	12903	5405	misty dark brown bisque dodger	817.44	1815.90
38	175839	874	dark tomato deep chartreuse powder	416.21	1914.83
39	2320	9821	saddle lime red blush chiffon	1.34	1222.32
39	186582	4137	turquoise blue purple salmon grey	778.93	1668.58
39	67831	5350	misty blush cyan coral olive	274.51	1798.83
39	20590	3093	orange pale rosy moccasin firebrick	882.25	1510.59
39	54519	9530	medium cyan pale burlywood magenta	749.23	1473.51
39	94368	6878	aquamarine plum dodger cornsilk snow	80.25	1362.36
64	85951	5952	cyan burlywood cornflower linen orchid	879.95	1936.95
65	59694	4705	grey beige chocolate blanched blue	88.59	1653.69
65	73815	8830	blanched dark orange linen cream	609.59	1788.81
65	1388	3889	misty moccasin gainsboro orchid burlywood	70.00	1289.38
66	115118	7630	cyan sky papaya moccasin khaki	324.38	1133.11
66	173489	3490	cream purple pink orchid dark	136.35	1562.48
67	21636	9143	cream lime brown hot cyan	788.63	1557.63
67	20193	5198	forest cyan rosy ghost almond	281.61	1113.19
67	173600	6118	white light dark cream chartreuse	110.60	1673.60
67	87514	7515	cream seashell white spring antique	485.39	1501.51
67	40613	8126	powder forest almond linen burlywood	724.31	1553.61
67	178306	824	dim beige blush green bisque	707.11	1384.30
